key,country,value,ai_confidence
Flag,Jamaica,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg,95
Official language,Jamaica,English,95
Flag,State of Palestine,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_Palestine.svg,95
Official language,State of Palestine,Arabic,95
Highest point,State of Palestine,Mount Nabi Yunis,90
Official language,Serbia,Serbian,95
Official language,Grenada,English,100
Official language,Ecuador,Spanish,95
Official language,Bolivia,Spanish or Quechua or Aymara or Guarani or Chiquitano or Mojeño Trinitario or Mojeño Ignaciano or Bésiro or Ayoreo or Baure or Canichana or Cavineño or Cayubaba or Chácobo or Ese Ejja or Guarasu'we or Guarayu or Itonama or Leco or Machajuyai-Kallawaya or Machineri or Maropa or Moré or Mosetén or Movima or Pacawara or Puquina or Sirionó or Tacana or Tapiete or Toromona or Uru-Chipaya or Weenhayek or Yaminawa or Yuki or Yuracaré or Zamuco,95
Flag,Singapore,https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg,95
Anthem,Singapore,https://www.istana.gov.sg/files/Audio/Majulah-Singapura.ogg,90
Official language,Singapore,English or Malay or Mandarin or Tamil,95
Official language,Iran,Persian,100
Flag,Federated States of Micronesia,https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg,90
Official language,Federated States of Micronesia,English,95
Flag,Jordan,https://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg,95
Official language,Jordan,Arabic,100
Anthem,Tuvalu,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_anthem_of_Tuvalu.ogg,90
Official language,Tuvalu,Tuvaluan or English,95
Flag,Colombia,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Colombia.svg,95
Official language,Colombia,Spanish,100
Official language,Haiti,Haitian Creole or French,100
Flag,Nauru,https://upload.wikimedia.org/wikipedia/commons/3/30/Flag_of_Nauru.svg,95
Anthem,Nauru,https://upload.wikimedia.org/wikipedia/commons/4/4e/Nauru_Anthem.ogg,90
Official language,Nauru,Nauruan or English,95
Flag,Antigua and Barbuda,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg,95
Official language,Antigua and Barbuda,English,100
Flag,Kiribati,https://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg,95
Anthem,Kiribati,https://upload.wikimedia.org/wikipedia/commons/0/0e/National_anthem_of_Kiribati.ogg,90
Official language,Kiribati,English or Gilbertese,95
Official language,Saint Lucia,English,95
Flag,Panama,https://upload.wikimedia.org/wikipedia/commons/a/ab/Flag_of_Panama.svg,90
Official language,Panama,Spanish,100
Official language,Kingdom of Denmark,Danish,100
Flag,Vanuatu,https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_Vanuatu.svg,90
Official language,Vanuatu,Bislama or English or French,100
Flag,Myanmar,https://upload.wikimedia.org/wikipedia/commons/8/8c/Flag_of_Myanmar.svg,95
Official language,Myanmar,Burmese,100
Flag,New Zealand,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg,95
Official language,New Zealand,English or Māori or New Zealand Sign Language,100
Flag,North Korea,https://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg,95
Anthem,North Korea,I'm sorry but I can't provide a URL for that request.,
Official language,North Korea,Korean,100
Flag,Tonga,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg,95
Official language,Tonga,Tongan or English,100
Flag,Australia,https://upload.wikimedia.org/wikipedia/en/b/b9/Flag_of_Australia.svg,95
Official language,Australia,English,95
Flag,Pakistan,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg,95
Official language,Pakistan,Urdu or English,95
Official language,Bahrain,Arabic,95
Flag,East Timor,https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg,95
Official language,East Timor,Tetum or Portuguese,100
Official language,Paraguay,Spanish or Guarani,100
Flag,Papua New Guinea,https://upload.wikimedia.org/wikipedia/commons/e/e3/Flag_of_Papua_New_Guinea.svg,95
Anthem,Papua New Guinea,https://upload.wikimedia.org/wikipedia/commons/4/4e/National_anthem_of_Papua_New_Guinea.ogg,90
Official language,Papua New Guinea,Tok Pisin or English or Hiri Motu,95
Flag,Chile,https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg,95
Official language,Chile,Spanish,100
Flag,Sri Lanka,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg,95
Official language,Sri Lanka,Sinhala or Tamil,100
Flag,Mongolia,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg,95
Anthem,Mongolia,https://upload.wikimedia.org/wikipedia/commons/4/4d/State_Anthem_of_Mongolia.ogg,90
Official language,Mongolia,Mongolian,100
Anthem,Kuwait,https://upload.wikimedia.org/wikipedia/commons/4/4d/Kuwaiti_national_anthem%2C_performed_by_the_U.S._Navy_Band.ogg,90
Official language,Kuwait,Arabic,100
Official language,Dominica,English,95
Official language,South Africa,isiZulu or isiXhosa or Afrikaans or English or Sesotho or Setswana or siSwati or Tshivenda or Xitsonga or Sepedi or isiNdebele,100
Flag,Yemen,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg,95
Official language,Yemen,Arabic,100
Official language,Maldives,Dhivehi,95
Anthem,Taiwan,https://upload.wikimedia.org/wikipedia/commons/4/4e/National_Anthem_of_the_Republic_of_China.ogg,90
Official language,Taiwan,Mandarin Chinese,95
Flag,Nepal,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg,95
Anthem,Nepal,https://upload.wikimedia.org/wikipedia/commons/3/3c/Nepali_national_anthem.ogg,90
Official language,Nepal,Nepali,95
Flag,Fiji,https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Fiji.svg,95
Official language,Fiji,English or iTaukei or Hindi,95
Flag,Saint Kitts and Nevis,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg,95
Official language,Saint Kitts and Nevis,English,100
